"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.81.191.105","54.162.252.25","TCP","78","65281  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2109795062 TSecr=0 SACK_PERM"
"2","0.000391","100.81.191.105","54.162.252.25","TCP","78","65282  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4145700569 TSecr=0 SACK_PERM"
"3","0.021369","54.162.252.25","100.81.191.105","TCP","74","443  >  65281 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=3085085247 TSecr=2109795062 WS=256"
"4","0.021371","54.162.252.25","100.81.191.105","TCP","74","443  >  65282 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=3085085247 TSecr=4145700569 WS=256"
"5","0.022161","100.81.191.105","54.162.252.25","TCP","66","65281  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2109795085 TSecr=3085085247"
"6","0.022238","100.81.191.105","54.162.252.25","TCP","66","65282  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=4145700592 TSecr=3085085247"
"7","0.022340","100.81.191.105","54.162.252.25","TLSv1.2","603","Client Hello (SNI=blackboard.wm.edu)"
"8","0.022465","100.81.191.105","54.162.252.25","TLSv1.2","583","Client Hello (SNI=blackboard.wm.edu)"
"9","0.036109","54.162.252.25","100.81.191.105","TCP","66","443  >  65281 [ACK] Seq=1 Ack=538 Win=28160 Len=0 TSval=3085085262 TSecr=2109795085"
"10","0.036110","54.162.252.25","100.81.191.105","TLSv1.2","211","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"11","0.036111","54.162.252.25","100.81.191.105","TCP","66","443  >  65282 [ACK] Seq=1 Ack=518 Win=28160 Len=0 TSval=3085085262 TSecr=4145700592"
"12","0.036111","54.162.252.25","100.81.191.105","TLSv1.2","211","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"13","0.036219","100.81.191.105","54.162.252.25","TCP","66","65281  >  443 [ACK] Seq=538 Ack=146 Win=131584 Len=0 TSval=2109795099 TSecr=3085085262"
"14","0.036260","100.81.191.105","54.162.252.25","TCP","66","65282  >  443 [ACK] Seq=518 Ack=146 Win=131584 Len=0 TSval=4145700606 TSecr=3085085262"
"15","0.037353","100.81.191.105","54.162.252.25","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"16","0.037460","100.81.191.105","54.162.252.25","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"17","0.037591","100.81.191.105","54.162.252.25","TCP","1514","65281  >  443 [ACK] Seq=589 Ack=146 Win=131584 Len=1448 TSval=2109795100 TSecr=3085085262 [TCP segment of a reassembled PDU]"
"18","0.037593","100.81.191.105","54.162.252.25","TCP","1514","65281  >  443 [ACK] Seq=2037 Ack=146 Win=131584 Len=1448 TSval=2109795100 TSecr=3085085262 [TCP segment of a reassembled PDU]"
"19","0.037598","100.81.191.105","54.162.252.25","TLSv1.2","431","Application Data"
"20","0.051864","54.162.252.25","100.81.191.105","TCP","66","443  >  65281 [ACK] Seq=146 Ack=3485 Win=45824 Len=0 TSval=3085085278 TSecr=2109795100"
"21","0.064843","54.162.252.25","100.81.191.105","TCP","1514","443  >  65281 [ACK] Seq=146 Ack=3850 Win=48896 Len=1448 TSval=3085085290 TSecr=2109795100 [TCP segment of a reassembled PDU]"
"22","0.064950","100.81.191.105","54.162.252.25","TCP","66","65281  >  443 [ACK] Seq=3850 Ack=1594 Win=130112 Len=0 TSval=2109795127 TSecr=3085085290"
"23","0.066598","54.162.252.25","100.81.191.105","TCP","1514","443  >  65281 [ACK] Seq=1594 Ack=3850 Win=48896 Len=1448 TSval=3085085290 TSecr=2109795100 [TCP segment of a reassembled PDU]"
"24","0.066600","54.162.252.25","100.81.191.105","TCP","1514","443  >  65281 [ACK] Seq=3042 Ack=3850 Win=48896 Len=1448 TSval=3085085290 TSecr=2109795100 [TCP segment of a reassembled PDU]"
"25","0.066601","54.162.252.25","100.81.191.105","TCP","1514","443  >  65281 [ACK] Seq=4490 Ack=3850 Win=48896 Len=1448 TSval=3085085290 TSecr=2109795100 [TCP segment of a reassembled PDU]"
"26","0.066602","54.162.252.25","100.81.191.105","TCP","1514","443  >  65281 [ACK] Seq=5938 Ack=3850 Win=48896 Len=1448 TSval=3085085290 TSecr=2109795100 [TCP segment of a reassembled PDU]"
"27","0.066709","100.81.191.105","54.162.252.25","TCP","66","65281  >  443 [ACK] Seq=3850 Ack=7386 Win=125248 Len=0 TSval=2109795129 TSecr=3085085290"
