"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"2","0.000037","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"3","0.000040","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"4","0.000042","100.86.186.61","104.18.37.228","UDP","1162","49645  >  443 Len=1120"
"5","0.019511","104.18.37.228","100.86.186.61","UDP","67","443  >  49645 Len=25"
"6","0.286698","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"7","0.286700","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"8","0.286701","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"9","0.286702","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"10","0.286703","104.18.37.228","100.86.186.61","UDP","307","443  >  49645 Len=265"
"11","0.286704","104.18.37.228","100.86.186.61","UDP","962","443  >  49645 Len=920"
"12","0.291614","100.86.186.61","104.18.37.228","UDP","88","49645  >  443 Len=46"
"13","0.331937","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"14","0.331940","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"15","0.331941","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"16","0.332285","104.18.37.228","100.86.186.61","UDP","99","443  >  49645 Len=57"
"17","0.332285","104.18.37.228","100.86.186.61","UDP","681","443  >  49645 Len=639"
"18","0.337576","100.86.186.61","104.18.37.228","UDP","88","49645  >  443 Len=46"
"19","0.385855","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"20","0.385857","104.18.37.228","100.86.186.61","UDP","81","443  >  49645 Len=39"
"21","0.385858","104.18.37.228","100.86.186.61","UDP","72","443  >  49645 Len=30"
"22","0.390576","100.86.186.61","104.18.37.228","UDP","88","49645  >  443 Len=46"
"23","0.533442","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"24","0.533505","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"25","0.533507","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"26","0.533509","100.86.186.61","104.18.37.228","UDP","1099","49645  >  443 Len=1057"
"27","0.551795","104.18.37.228","100.86.186.61","UDP","67","443  >  49645 Len=25"
"28","0.640504","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"29","0.640505","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"30","0.640506","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"31","0.640507","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"32","0.640508","104.18.37.228","100.86.186.61","UDP","284","443  >  49645 Len=242"
"33","0.640508","104.18.37.228","100.86.186.61","UDP","1242","443  >  49645 Len=1200"
"34","0.640509","104.18.37.228","100.86.186.61","UDP","140","443  >  49645 Len=98"
"35","0.648980","100.86.186.61","104.18.37.228","UDP","88","49645  >  443 Len=46"
"36","0.817839","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"37","0.817842","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"38","0.817878","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"39","0.817880","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"40","0.817881","100.86.186.61","104.18.37.228","UDP","911","49645  >  443 Len=869"
"41","0.818271","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"42","0.818273","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"43","0.818290","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
"44","0.818292","100.86.186.61","104.18.37.228","UDP","1292","49645  >  443 Len=1250"
