"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.191.105","13.107.42.14","TCP","78","53215  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3976213393 TSecr=0 SACK_PERM"
"2","0.002081","100.86.191.105","13.107.42.14","TCP","78","53216  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2317708930 TSecr=0 SACK_PERM"
"3","0.014422","13.107.42.14","100.86.191.105","TCP","66","443  >  53215 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"4","0.014424","13.107.42.14","100.86.191.105","TCP","66","443  >  53216 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"5","0.014545","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6","0.014595","100.86.191.105","13.107.42.14","TCP","54","53216  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"7","0.014858","100.86.191.105","13.107.42.14","TCP","1494","53215  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"8","0.014875","100.86.191.105","13.107.42.14","TLSv1.2","404","Client Hello (SNI=www.linkedin.com)"
"9","0.015210","100.86.191.105","13.107.42.14","TCP","1494","53216  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"10","0.015219","100.86.191.105","13.107.42.14","TLSv1.2","340","Client Hello (SNI=www.linkedin.com)"
"11","0.028546","13.107.42.14","100.86.191.105","TCP","56","443  >  53215 [ACK] Seq=1 Ack=1791 Win=4194560 Len=0"
"12","0.028547","13.107.42.14","100.86.191.105","TCP","56","443  >  53216 [ACK] Seq=1 Ack=1727 Win=4194560 Len=0"
"13","0.031447","13.107.42.14","100.86.191.105","TCP","1514","443  >  53216 [ACK] Seq=1 Ack=1727 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"14","0.031448","13.107.42.14","100.86.191.105","TCP","1514","443  >  53216 [ACK] Seq=1461 Ack=1727 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.031449","13.107.42.14","100.86.191.105","TCP","1514","443  >  53216 [ACK] Seq=2921 Ack=1727 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"16","0.031450","13.107.42.14","100.86.191.105","TLSv1.2","265","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"17","0.031451","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=1 Ack=1791 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.031453","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=1461 Ack=1791 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"19","0.031454","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=2921 Ack=1791 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.031579","100.86.191.105","13.107.42.14","TCP","54","53216  >  443 [ACK] Seq=1727 Ack=4592 Win=257536 Len=0"
"21","0.031634","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=1791 Ack=4381 Win=257728 Len=0"
"22","0.031648","13.107.42.14","100.86.191.105","TLSv1.2","265","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"23","0.031667","100.86.191.105","13.107.42.14","TCP","54","[TCP Window Update] 53216  >  443 [ACK] Seq=1727 Ack=4592 Win=262144 Len=0"
"24","0.031686","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=1791 Ack=4592 Win=257536 Len=0"
"25","0.032011","100.86.191.105","13.107.42.14","TCP","54","[TCP Window Update] 53215  >  443 [ACK] Seq=1791 Ack=4592 Win=262144 Len=0"
"26","0.034395","100.86.191.105","13.107.42.14","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"27","0.035546","100.86.191.105","13.107.42.14","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"28","0.035623","100.86.191.105","13.107.42.14","TCP","54","53216  >  443 [FIN, ACK] Seq=1885 Ack=4592 Win=262144 Len=0"
"29","0.036010","100.86.191.105","13.107.42.14","TLSv1.2","153","Application Data"
"30","0.036276","100.86.191.105","13.107.42.14","TCP","1494","53215  >  443 [ACK] Seq=2048 Ack=4592 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"31","0.036285","100.86.191.105","13.107.42.14","TLSv1.2","662","Application Data"
"32","0.046490","13.107.42.14","100.86.191.105","TCP","56","443  >  53215 [ACK] Seq=4592 Ack=1949 Win=4194304 Len=0"
"33","0.047986","13.107.42.14","100.86.191.105","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"34","0.047987","13.107.42.14","100.86.191.105","TLSv1.2","123","Application Data"
"35","0.047987","13.107.42.14","100.86.191.105","TCP","56","443  >  53216 [ACK] Seq=4592 Ack=1886 Win=4194304 Len=0"
"36","0.048049","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4096 Ack=5003 Win=261696 Len=0"
"37","0.048173","100.86.191.105","13.107.42.14","TLSv1.2","92","Application Data"
"38","0.049344","13.107.42.14","100.86.191.105","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"39","0.049345","13.107.42.14","100.86.191.105","TLSv1.2","123","Application Data"
"40","0.049345","13.107.42.14","100.86.191.105","TCP","56","443  >  53216 [RST, ACK] Seq=5003 Ack=1886 Win=0 Len=0"
"41","0.049346","13.107.42.14","100.86.191.105","TLSv1.2","92","Application Data"
"42","0.049428","100.86.191.105","13.107.42.14","TCP","54","53216  >  443 [RST] Seq=1886 Win=0 Len=0"
"43","0.049450","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=5041 Win=262080 Len=0"
"44","0.059778","13.107.42.14","100.86.191.105","TCP","56","443  >  53215 [ACK] Seq=5041 Ack=4134 Win=4193792 Len=0"
"45","0.404146","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=5041 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"46","0.404148","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=6501 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"47","0.404149","13.107.42.14","100.86.191.105","TLSv1.2","515","Application Data"
"48","0.404249","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=8422 Win=258752 Len=0"
"49","0.404384","100.86.191.105","13.107.42.14","TCP","54","[TCP Window Update] 53215  >  443 [ACK] Seq=4134 Ack=8422 Win=262144 Len=0"
"50","0.406109","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=8422 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"51","0.406110","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=9882 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.406111","13.107.42.14","100.86.191.105","TLSv1.2","877","Application Data"
"53","0.406113","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=12165 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"54","0.406114","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=13625 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"55","0.406115","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"56","0.406116","13.107.42.14","100.86.191.105","TCP","1514","[TCP Retransmission] 443  >  53215 [PSH, ACK] Seq=14839 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"57","0.406118","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=16299 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"58","0.406119","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=17759 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"59","0.406120","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"60","0.406121","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=20433 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"61","0.406122","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=21893 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"62","0.406123","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"63","0.406124","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=24567 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"64","0.406126","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=26027 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"65","0.406127","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"66","0.406128","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=28701 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"67","0.406129","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=30161 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"68","0.406130","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"69","0.406225","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=16299 Win=254208 Len=0"
"70","0.406275","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=31621 Win=238912 Len=0"
"71","0.406290","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=32835 Win=237696 Len=0"
"72","0.406339","100.86.191.105","13.107.42.14","TCP","54","[TCP Window Update] 53215  >  443 [ACK] Seq=4134 Ack=32835 Win=262144 Len=0"
"73","0.417134","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=32835 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"74","0.417136","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=34295 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"75","0.417136","13.107.42.14","100.86.191.105","TLSv1.2","1514","Application Data"
"76","0.417137","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=37215 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"77","0.417138","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=38675 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"78","0.417257","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=40135 Win=254784 Len=0"
"79","0.417361","100.86.191.105","13.107.42.14","TCP","54","[TCP Window Update] 53215  >  443 [ACK] Seq=4134 Ack=40135 Win=262144 Len=0"
"80","0.418482","13.107.42.14","100.86.191.105","TLSv1.2","1514","Application Data"
"81","0.418483","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=41595 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"82","0.418485","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=43055 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"83","0.418485","13.107.42.14","100.86.191.105","TLSv1.2","763","Application Data"
"84","0.418589","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=45224 Win=257024 Len=0"
"85","0.418654","100.86.191.105","13.107.42.14","TCP","54","[TCP Window Update] 53215  >  443 [ACK] Seq=4134 Ack=45224 Win=262144 Len=0"
"86","0.435514","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=45224 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"87","0.435515","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=46684 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"88","0.435516","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"89","0.435517","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=49358 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"90","0.435518","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=50818 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"91","0.435519","13.107.42.14","100.86.191.105","TCP","1514","[TCP Previous segment not captured] 443  >  53215 [ACK] Seq=53492 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"92","0.435520","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=54952 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"93","0.435521","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"94","0.435522","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=57626 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"95","0.436321","100.86.191.105","13.107.42.14","TCP","54","53215  >  443 [ACK] Seq=4134 Ack=52278 Win=255040 Len=0"
"96","0.436364","100.86.191.105","13.107.42.14","TCP","66","[TCP Dup ACK 95#1] 53215  >  443 [ACK] Seq=4134 Ack=52278 Win=255040 Len=0 SLE=53492 SRE=59086"
"97","0.436413","100.86.191.105","13.107.42.14","TCP","66","[TCP Window Update] 53215  >  443 [ACK] Seq=4134 Ack=52278 Win=262144 Len=0 SLE=53492 SRE=59086"
"98","0.436855","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=59086 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"99","0.436856","13.107.42.14","100.86.191.105","TLSv1.2","1202","Application Data"
"100","0.436865","13.107.42.14","100.86.191.105","TLSv1.2","150","Application Data"
"101","0.436866","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=61790 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"102","0.436867","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=63250 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"103","0.436869","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"104","0.437424","100.86.191.105","13.107.42.14","TCP","66","[TCP Dup ACK 95#2] 53215  >  443 [ACK] Seq=4134 Ack=52278 Win=262144 Len=0 SLE=53492 SRE=65924"
"105","0.458425","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=65924 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"106","0.458426","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=67384 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"107","0.458428","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
"108","0.458429","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=70058 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"109","0.458430","13.107.42.14","100.86.191.105","TCP","1514","443  >  53215 [ACK] Seq=71518 Ack=4134 Win=4193792 Len=1460 [TCP segment of a reassembled PDU]"
"110","0.458431","13.107.42.14","100.86.191.105","TLSv1.2","1268","Application Data"
