"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.2.13.112","54.159.176.36","TCP","78","56311  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2606199677 TSecr=0 SACK_PERM"
"2","0.011378","54.159.176.36","10.2.13.112","TCP","74","443  >  56311 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=3156868553 TSecr=2606199677 WS=256"
"3","0.011533","10.2.13.112","54.159.176.36","TCP","66","56311  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2606199689 TSecr=3156868553"
"4","0.012124","10.2.13.112","54.159.176.36","TCP","1514","56311  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=1448 TSval=2606199689 TSecr=3156868553 [TCP segment of a reassembled PDU]"
"5","0.012143","10.2.13.112","54.159.176.36","TLSv1.2","409","Client Hello (SNI=blackboard.wm.edu)"
"6","0.024034","54.159.176.36","10.2.13.112","TCP","66","443  >  56311 [ACK] Seq=1 Ack=1792 Win=44800 Len=0 TSval=3156868565 TSecr=2606199689"
"7","0.024036","54.159.176.36","10.2.13.112","TLSv1.2","1514","Server Hello"
"8","0.024038","54.159.176.36","10.2.13.112","TCP","1514","443  >  56311 [ACK] Seq=1449 Ack=1792 Win=44800 Len=1448 TSval=3156868565 TSecr=2606199689 [TCP segment of a reassembled PDU]"
"9","0.024040","54.159.176.36","10.2.13.112","TCP","1266","443  >  56311 [PSH, ACK] Seq=2897 Ack=1792 Win=44800 Len=1200 TSval=3156868565 TSecr=2606199689 [TCP segment of a reassembled PDU]"
"10","0.024042","54.159.176.36","10.2.13.112","TLSv1.2","1384","Certificate, Server Key Exchange, Server Hello Done"
"11","0.024198","10.2.13.112","54.159.176.36","TCP","66","56311  >  443 [ACK] Seq=1792 Ack=5415 Win=126336 Len=0 TSval=2606199701 TSecr=3156868566"
"12","0.024301","10.2.13.112","54.159.176.36","TCP","66","[TCP Window Update] 56311  >  443 [ACK] Seq=1792 Ack=5415 Win=131072 Len=0 TSval=2606199702 TSecr=3156868566"
"13","0.025308","10.2.13.112","54.159.176.36","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"14","0.036854","54.159.176.36","10.2.13.112","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"15","0.037004","10.2.13.112","54.159.176.36","TCP","66","56311  >  443 [ACK] Seq=1918 Ack=5466 Win=131008 Len=0 TSval=2606199714 TSecr=3156868578"
"16","0.077074","10.2.13.112","54.159.176.36","TCP","1514","56311  >  443 [ACK] Seq=1918 Ack=5466 Win=131072 Len=1448 TSval=2606199754 TSecr=3156868578 [TCP segment of a reassembled PDU]"
"17","0.077077","10.2.13.112","54.159.176.36","TCP","1514","56311  >  443 [ACK] Seq=3366 Ack=5466 Win=131072 Len=1448 TSval=2606199754 TSecr=3156868578 [TCP segment of a reassembled PDU]"
