"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.186.61","54.208.191.177","TCP","78","54925  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2121847098 TSecr=0 SACK_PERM"
"2","0.013547","54.208.191.177","100.86.186.61","TCP","74","443  >  54925 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=2243916877 TSecr=2121847098 WS=256"
"3","0.013655","100.86.186.61","54.208.191.177","TCP","66","54925  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2121847111 TSecr=2243916877"
"4","0.013995","100.86.186.61","54.208.191.177","TCP","1514","54925  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=1448 TSval=2121847111 TSecr=2243916877 [TCP segment of a reassembled PDU]"
"5","0.014015","100.86.186.61","54.208.191.177","TLSv1.2","409","Client Hello (SNI=blackboard.wm.edu)"
"6","0.027076","54.208.191.177","100.86.186.61","TCP","66","443  >  54925 [ACK] Seq=1 Ack=1792 Win=30464 Len=0 TSval=2243916891 TSecr=2121847111"
"7","0.027077","54.208.191.177","100.86.186.61","TLSv1.2","1514","Server Hello"
"8","0.027079","54.208.191.177","100.86.186.61","TCP","1514","443  >  54925 [ACK] Seq=1449 Ack=1792 Win=30464 Len=1448 TSval=2243916891 TSecr=2121847111 [TCP segment of a reassembled PDU]"
"9","0.027080","54.208.191.177","100.86.186.61","TCP","1266","443  >  54925 [PSH, ACK] Seq=2897 Ack=1792 Win=30464 Len=1200 TSval=2243916891 TSecr=2121847111 [TCP segment of a reassembled PDU]"
"10","0.027171","100.86.186.61","54.208.191.177","TCP","66","54925  >  443 [ACK] Seq=1792 Ack=4097 Win=127616 Len=0 TSval=2121847125 TSecr=2243916891"
"11","0.027240","100.86.186.61","54.208.191.177","TCP","66","[TCP Window Update] 54925  >  443 [ACK] Seq=1792 Ack=4097 Win=131072 Len=0 TSval=2121847125 TSecr=2243916891"
"12","0.028346","54.208.191.177","100.86.186.61","TLSv1.2","1384","Certificate, Server Key Exchange, Server Hello Done"
"13","0.028390","100.86.186.61","54.208.191.177","TCP","66","54925  >  443 [ACK] Seq=1792 Ack=5415 Win=129728 Len=0 TSval=2121847126 TSecr=2243916892"
"14","0.047857","100.86.186.61","54.208.191.177","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"15","0.059909","54.208.191.177","100.86.186.61","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"16","0.059972","100.86.186.61","54.208.191.177","TCP","66","54925  >  443 [ACK] Seq=1918 Ack=5466 Win=131008 Len=0 TSval=2121847158 TSecr=2243916924"
"17","0.060161","100.86.186.61","54.208.191.177","TCP","1514","54925  >  443 [ACK] Seq=1918 Ack=5466 Win=131072 Len=1448 TSval=2121847158 TSecr=2243916924 [TCP segment of a reassembled PDU]"
"18","0.060162","100.86.186.61","54.208.191.177","TCP","1514","54925  >  443 [ACK] Seq=3366 Ack=5466 Win=131072 Len=1448 TSval=2121847158 TSecr=2243916924 [TCP segment of a reassembled PDU]"
"19","0.060186","100.86.186.61","54.208.191.177","TLSv1.2","1344","Application Data"
"20","0.071531","54.208.191.177","100.86.186.61","TCP","66","443  >  54925 [ACK] Seq=5466 Ack=4814 Win=48384 Len=0 TSval=2243916937 TSecr=2121847158"
"21","0.088486","100.86.186.61","54.208.191.177","TCP","1344","[TCP Retransmission] 54925  >  443 [PSH, ACK] Seq=4814 Ack=5466 Win=131072 Len=1278 TSval=2121847186 TSecr=2243916937 [TCP segment of a reassembled PDU]"
"22","0.091575","54.208.191.177","100.86.186.61","TCP","1514","443  >  54925 [ACK] Seq=5466 Ack=6092 Win=66304 Len=1448 TSval=2243916956 TSecr=2121847158 [TCP segment of a reassembled PDU]"
"23","0.091671","54.208.191.177","100.86.186.61","TCP","1514","443  >  54925 [ACK] Seq=6914 Ack=6092 Win=66304 Len=1448 TSval=2243916956 TSecr=2121847158 [TCP segment of a reassembled PDU]"
"24","0.091673","54.208.191.177","100.86.186.61","TCP","1514","443  >  54925 [ACK] Seq=8362 Ack=6092 Win=66304 Len=1448 TSval=2243916956 TSecr=2121847158 [TCP segment of a reassembled PDU]"
"25","0.091674","54.208.191.177","100.86.186.61","TCP","1514","443  >  54925 [ACK] Seq=9810 Ack=6092 Win=66304 Len=1448 TSval=2243916956 TSecr=2121847158 [TCP segment of a reassembled PDU]"
"26","0.091827","100.86.186.61","54.208.191.177","TCP","66","54925  >  443 [ACK] Seq=6092 Ack=11258 Win=125248 Len=0 TSval=2121847189 TSecr=2243916956"
"27","0.091979","100.86.186.61","54.208.191.177","TCP","66","[TCP Window Update] 54925  >  443 [ACK] Seq=6092 Ack=11258 Win=131072 Len=0 TSval=2121847189 TSecr=2243916956"
