"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.81.191.105","52.73.184.233","TCP","78","56209  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3308334377 TSecr=0 SACK_PERM"
"2","0.000104","100.81.191.105","52.73.184.233","TCP","78","56210  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1771922286 TSecr=0 SACK_PERM"
"3","0.013716","52.73.184.233","100.81.191.105","TCP","74","443  >  56210 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=2832142804 TSecr=1771922286 WS=256"
"4","0.013717","52.73.184.233","100.81.191.105","TCP","74","443  >  56209 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=2832142804 TSecr=3308334377 WS=256"
"5","0.013780","100.81.191.105","52.73.184.233","TCP","66","56210  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1771922299 TSecr=2832142804"
"6","0.013804","100.81.191.105","52.73.184.233","TCP","66","56209  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3308334390 TSecr=2832142804"
"7","0.014024","100.81.191.105","52.73.184.233","TCP","1514","56210  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=1448 TSval=1771922300 TSecr=2832142804 [TCP segment of a reassembled PDU]"
"8","0.014033","100.81.191.105","52.73.184.233","TLSv1.2","377","Client Hello (SNI=blackboard.wm.edu)"
"9","0.014235","100.81.191.105","52.73.184.233","TCP","1514","56209  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=1448 TSval=3308334391 TSecr=2832142804 [TCP segment of a reassembled PDU]"
"10","0.014242","100.81.191.105","52.73.184.233","TLSv1.2","409","Client Hello (SNI=blackboard.wm.edu)"
"11","0.027630","52.73.184.233","100.81.191.105","TCP","66","443  >  56210 [ACK] Seq=1 Ack=1760 Win=44800 Len=0 TSval=2832142818 TSecr=1771922300"
"12","0.027631","52.73.184.233","100.81.191.105","TLSv1.2","1514","Server Hello"
"13","0.027632","52.73.184.233","100.81.191.105","TCP","1514","443  >  56210 [ACK] Seq=1449 Ack=1760 Win=44800 Len=1448 TSval=2832142818 TSecr=1771922300 [TCP segment of a reassembled PDU]"
"14","0.027633","52.73.184.233","100.81.191.105","TCP","1266","443  >  56210 [PSH, ACK] Seq=2897 Ack=1760 Win=44800 Len=1200 TSval=2832142818 TSecr=1771922300 [TCP segment of a reassembled PDU]"
"15","0.027738","100.81.191.105","52.73.184.233","TCP","66","56210  >  443 [ACK] Seq=1760 Ack=4097 Win=127616 Len=0 TSval=1771922314 TSecr=2832142818"
"16","0.027820","100.81.191.105","52.73.184.233","TCP","66","[TCP Window Update] 56210  >  443 [ACK] Seq=1760 Ack=4097 Win=131072 Len=0 TSval=1771922314 TSecr=2832142818"
"17","0.028804","52.73.184.233","100.81.191.105","TCP","66","443  >  56209 [ACK] Seq=1 Ack=1792 Win=44800 Len=0 TSval=2832142818 TSecr=3308334391"
"18","0.028805","52.73.184.233","100.81.191.105","TLSv1.2","1384","Certificate, Server Key Exchange, Server Hello Done"
