"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.14.54","172.64.150.28","QUIC","1292","Initial, DCID=7dafaffc89102df1, PKN: 1, CRYPTO"
"2","0.017966","172.64.150.28","100.86.14.54","QUIC","1242","Initial, SCID=01833ec71889dbdfb882bcc75b89c9528ab31261, PKN: 0, ACK"
"3","0.061925","100.86.14.54","172.64.150.28","QUIC","1292","Initial, DCID=01833ec71889dbdfb882bcc75b89c9528ab31261, PKN: 5, PADDING, PING, CRYPTO, PADDING"
"4","0.078680","172.64.150.28","100.86.14.54","QUIC","1242","Initial, SCID=01833ec71889dbdfb882bcc75b89c9528ab31261, PKN: 1, ACK"
"5","0.080399","172.64.150.28","100.86.14.54","QUIC","1242","Initial, SCID=01833ec71889dbdfb882bcc75b89c9528ab31261, PKN: 2, CRYPTO"
"6","0.080659","172.64.150.28","100.86.14.54","QUIC","1242","Handshake, SCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"7","0.081650","100.86.14.54","172.64.150.28","QUIC","1292","Handshake, DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"8","0.097799","172.64.150.28","100.86.14.54","QUIC","90","Protected Payload (KP0)"
"9","0.097799","172.64.150.28","100.86.14.54","QUIC","66","Protected Payload (KP0)"
"10","0.097799","172.64.150.28","100.86.14.54","QUIC","66","Protected Payload (KP0)"
"11","0.098317","172.64.150.28","100.86.14.54","QUIC","91","Protected Payload (KP0)"
"12","0.098355","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"13","0.098455","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"14","0.098502","100.86.14.54","172.64.150.28","QUIC","89","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"15","0.104335","100.86.14.54","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"16","0.104406","100.86.14.54","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"17","0.113969","172.64.150.28","100.86.14.54","QUIC","70","Protected Payload (KP0)"
"18","0.114252","100.86.14.54","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"19","0.114314","100.86.14.54","172.64.150.28","QUIC","934","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"20","0.121082","172.64.150.28","100.86.14.54","QUIC","65","Protected Payload (KP0)"
"21","0.131352","172.64.150.28","100.86.14.54","QUIC","66","Protected Payload (KP0)"
"22","0.340931","100.86.14.54","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"23","0.356751","172.64.150.28","100.86.14.54","QUIC","65","Protected Payload (KP0)"
"24","0.498726","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"25","0.498991","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"26","0.498991","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"27","0.498991","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"28","0.498991","172.64.150.28","100.86.14.54","QUIC","409","Protected Payload (KP0)"
"29","0.499211","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"30","0.499395","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"31","0.499517","172.64.150.28","100.86.14.54","QUIC","952","Protected Payload (KP0)"
"32","0.499909","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"33","0.543342","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"34","0.543342","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"35","0.543342","172.64.150.28","100.86.14.54","QUIC","1242","Protected Payload (KP0)"
"36","0.543570","172.64.150.28","100.86.14.54","QUIC","1087","Protected Payload (KP0)"
"37","0.543570","172.64.150.28","100.86.14.54","QUIC","288","Protected Payload (KP0)"
"38","0.543650","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"39","0.543746","100.86.14.54","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"40","0.559976","100.86.14.54","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"41","0.576773","172.64.150.28","100.86.14.54","QUIC","65","Protected Payload (KP0)"
"42","0.588054","172.64.150.28","100.86.14.54","QUIC","776","Protected Payload (KP0)"
"43","0.590419","100.86.14.54","172.64.150.28","QUIC","1292","Initial, DCID=881573630f28180f, PKN: 1, CRYPTO"
"44","0.613632","100.86.14.54","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01833ec71889dbdfb882bcc75b89c9528ab31261"
"45","0.616583","172.64.150.28","100.86.14.54","QUIC","1242","Initial, SCID=016351cb834b13f9586295ca914b382b25d2f519, PKN: 0, ACK"
"46","0.653628","100.86.14.54","172.64.150.28","QUIC","1292","Initial, DCID=016351cb834b13f9586295ca914b382b25d2f519, PKN: 5, PADDING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO"
"47","0.672906","172.64.150.28","100.86.14.54","QUIC","1242","Initial, SCID=016351cb834b13f9586295ca914b382b25d2f519, PKN: 1, ACK, CRYPTO"
"48","0.672906","172.64.150.28","100.86.14.54","QUIC","1242","Handshake, SCID=016351cb834b13f9586295ca914b382b25d2f519"
"49","0.672906","172.64.150.28","100.86.14.54","QUIC","66","Protected Payload (KP0)"
"50","0.673588","172.64.150.28","100.86.14.54","QUIC","66","Protected Payload (KP0)"
"51","0.673588","172.64.150.28","100.86.14.54","QUIC","91","Protected Payload (KP0)"
