"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.2.13.112","104.18.37.228","QUIC","1292","Initial, DCID=5b6134004171aaf6, PKN: 1, CRYPTO"
"2","0.000024","10.2.13.112","104.18.37.228","QUIC","1292","Initial, DCID=5b6134004171aaf6, PKN: 2, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO"
"3","0.000122","10.2.13.112","104.18.37.228","QUIC","120","0-RTT, DCID=5b6134004171aaf6"
"4","0.000342","10.2.13.112","104.18.37.228","QUIC","1292","0-RTT, DCID=5b6134004171aaf6"
"5","0.000351","10.2.13.112","104.18.37.228","QUIC","1292","0-RTT, DCID=5b6134004171aaf6"
"6","0.000358","10.2.13.112","104.18.37.228","QUIC","1292","0-RTT, DCID=5b6134004171aaf6"
"7","0.000364","10.2.13.112","104.18.37.228","QUIC","1292","0-RTT, DCID=5b6134004171aaf6"
"8","0.000371","10.2.13.112","104.18.37.228","QUIC","856","0-RTT, DCID=5b6134004171aaf6"
"9","0.006274","104.18.37.228","10.2.13.112","QUIC","1242","Initial, SCID=01ff458632a209cee6ffe68627a20883191dd8c6, PKN: 0, ACK"
"10","0.008549","104.18.37.228","10.2.13.112","QUIC","1242","Initial, SCID=01ff458632a209cee6ffe68627a20883191dd8c6, PKN: 1, ACK, CRYPTO"
"11","0.008551","104.18.37.228","10.2.13.112","QUIC","1242","Handshake, SCID=01ff458632a209cee6ffe68627a20883191dd8c6"
"12","0.008552","104.18.37.228","10.2.13.112","QUIC","66","Protected Payload (KP0)"
"13","0.008552","104.18.37.228","10.2.13.112","QUIC","66","Protected Payload (KP0)"
"14","0.008552","104.18.37.228","10.2.13.112","QUIC","91","Protected Payload (KP0)"
"15","0.008553","104.18.37.228","10.2.13.112","QUIC","66","Protected Payload (KP0)"
"16","0.009043","10.2.13.112","104.18.37.228","QUIC","1292","Handshake, DCID=01ff458632a209cee6ffe68627a20883191dd8c6"
"17","0.009064","10.2.13.112","104.18.37.228","QUIC","85","Protected Payload (KP0), DCID=01ff458632a209cee6ffe68627a20883191dd8c6"
"18","0.009093","10.2.13.112","104.18.37.228","QUIC","89","Protected Payload (KP0), DCID=01ff458632a209cee6ffe68627a20883191dd8c6"
"19","0.015580","104.18.37.228","10.2.13.112","QUIC","64","Protected Payload (KP0)"
"20","0.015581","104.18.37.228","10.2.13.112","QUIC","72","Protected Payload (KP0)"
"21","0.016151","10.2.13.112","104.18.37.228","QUIC","85","Protected Payload (KP0), DCID=01ff458632a209cee6ffe68627a20883191dd8c6"
"22","0.017523","10.2.13.112","104.18.37.228","QUIC","1292","Protected Payload (KP0), DCID=01ff458632a209cee6ffe68627a20883191dd8c6"
"23","0.017533","10.2.13.112","104.18.37.228","QUIC","1292","Protected Payload (KP0), DCID=01ff458632a209cee6ffe68627a20883191dd8c6"
