"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.81.191.105","172.64.150.28","QUIC","1292","Initial, DCID=922c498222aa7480, PKN: 1, CRYPTO"
"2","0.000028","100.81.191.105","172.64.150.28","QUIC","1292","Initial, DCID=922c498222aa7480, PKN: 2, PADDING, PING, PING, PING, CRYPTO, PING, PADDING, PING, PADDING, PING, CRYPTO, PADDING, PING"
"3","0.018605","172.64.150.28","100.81.191.105","QUIC","1242","Initial, SCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11, PKN: 0, ACK"
"4","0.020677","172.64.150.28","100.81.191.105","QUIC","1242","Initial, SCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11, PKN: 1, ACK, CRYPTO"
"5","0.020678","172.64.150.28","100.81.191.105","QUIC","1242","Initial, SCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11, PKN: 2, CRYPTO"
"6","0.020679","172.64.150.28","100.81.191.105","QUIC","1242","Handshake, SCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"7","0.020680","172.64.150.28","100.81.191.105","QUIC","867","Handshake, SCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"8","0.020867","100.81.191.105","172.64.150.28","QUIC","1292","Initial, DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11, PKN: 3, ACK, PADDING"
"9","0.021254","100.81.191.105","172.64.150.28","QUIC","93","Handshake, DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"10","0.030704","100.81.191.105","172.64.150.28","QUIC","127","Handshake, DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"11","0.030753","100.81.191.105","172.64.150.28","QUIC","122","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"12","0.030910","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"13","0.030921","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"14","0.030923","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"15","0.030930","100.81.191.105","172.64.150.28","QUIC","131","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"16","0.048864","172.64.150.28","100.81.191.105","QUIC","575","Protected Payload (KP0)"
"17","0.048866","172.64.150.28","100.81.191.105","QUIC","66","Protected Payload (KP0)"
"18","0.048867","172.64.150.28","100.81.191.105","QUIC","66","Protected Payload (KP0)"
"19","0.048867","172.64.150.28","100.81.191.105","QUIC","91","Protected Payload (KP0)"
"20","0.049094","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"21","0.049136","100.81.191.105","172.64.150.28","QUIC","89","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"22","0.050365","172.64.150.28","100.81.191.105","QUIC","65","Protected Payload (KP0)"
"23","0.050366","172.64.150.28","100.81.191.105","QUIC","66","Protected Payload (KP0)"
"24","0.067604","172.64.150.28","100.81.191.105","QUIC","70","Protected Payload (KP0)"
"25","0.095015","100.81.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"26","0.271049","100.81.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"27","0.289418","172.64.150.28","100.81.191.105","QUIC","65","Protected Payload (KP0)"
"28","0.482132","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"29","0.482135","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"30","0.482136","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"31","0.482138","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"32","0.482149","172.64.150.28","100.81.191.105","QUIC","860","Protected Payload (KP0)"
"33","0.482466","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"34","0.482559","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"35","0.483306","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"36","0.483307","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"37","0.483309","172.64.150.28","100.81.191.105","QUIC","883","Protected Payload (KP0)"
"38","0.484022","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"39","0.484044","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"40","0.490889","100.81.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"41","0.509305","172.64.150.28","100.81.191.105","QUIC","65","Protected Payload (KP0)"
"42","0.530649","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"43","0.530650","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"44","0.530651","172.64.150.28","100.81.191.105","QUIC","1106","Protected Payload (KP0)"
"45","0.530651","172.64.150.28","100.81.191.105","QUIC","871","Protected Payload (KP0)"
"46","0.530804","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"47","0.530806","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"48","0.580284","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"49","0.580287","172.64.150.28","100.81.191.105","QUIC","829","Protected Payload (KP0)"
"50","0.580288","172.64.150.28","100.81.191.105","QUIC","71","Protected Payload (KP0)"
"51","0.580478","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"52","0.605766","100.81.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"53","1.003477","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"54","1.003480","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"55","1.003481","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"56","1.003483","100.81.191.105","172.64.150.28","QUIC","446","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"57","1.022193","172.64.150.28","100.81.191.105","QUIC","65","Protected Payload (KP0)"
"58","1.022194","172.64.150.28","100.81.191.105","QUIC","66","Protected Payload (KP0)"
"59","1.101466","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"60","1.101468","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"61","1.101468","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"62","1.101469","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"63","1.101470","172.64.150.28","100.81.191.105","QUIC","239","Protected Payload (KP0)"
"64","1.101672","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"65","1.101699","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"66","1.102769","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"67","1.102770","172.64.150.28","100.81.191.105","QUIC","126","Protected Payload (KP0)"
"68","1.102842","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"69","1.125131","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"70","1.125140","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"71","1.125141","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"72","1.125150","100.81.191.105","172.64.150.28","QUIC","449","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"73","1.143491","172.64.150.28","100.81.191.105","QUIC","66","Protected Payload (KP0)"
"74","1.156200","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"75","1.156202","172.64.150.28","100.81.191.105","QUIC","1105","Protected Payload (KP0)"
"76","1.156538","100.81.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"77","1.319344","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"78","1.319378","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"79","1.319381","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"80","1.319383","100.81.191.105","172.64.150.28","QUIC","455","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"81","1.322257","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"82","1.322268","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"83","1.322270","100.81.191.105","172.64.150.28","QUIC","1292","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
