"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","13.107.42.14","100.81.191.105","TLSv1.2","190","Application Data"
"2","0.000163","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=1 Ack=137 Win=7221 Len=0"
"3","0.002048","100.81.191.105","13.107.42.14","TLSv1.2","96","Application Data"
"4","0.002117","100.81.191.105","13.107.42.14","TLSv1.2","96","Application Data"
"5","0.013595","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=85 Ack=137 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"6","0.013636","100.81.191.105","13.107.42.14","TLSv1.2","1393","Application Data"
"7","0.014474","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=137 Ack=43 Win=16384 Len=0"
"8","0.014476","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=137 Ack=85 Win=16384 Len=0"
"9","0.026593","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=137 Ack=2864 Win=16379 Len=0"
"10","0.096451","13.107.42.14","100.81.191.105","TLSv1.2","650","Application Data"
"11","0.096453","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"12","0.096538","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=2864 Ack=771 Win=7213 Len=0"
"13","0.097398","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=2864 Ack=771 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"14","0.097414","100.81.191.105","13.107.42.14","TLSv1.2","1393","Application Data"
"15","0.110307","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=771 Ack=5643 Win=16379 Len=0"
"16","0.180790","13.107.42.14","100.81.191.105","TLSv1.2","489","Application Data"
"17","0.180792","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"18","0.180900","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=5643 Ack=1244 Win=7216 Len=0"
"19","0.181520","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=5643 Ack=1244 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"20","0.181540","100.81.191.105","13.107.42.14","TLSv1.2","1393","Application Data"
"21","0.194278","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=1244 Ack=7083 Win=16385 Len=0"
"22","0.194279","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=1244 Ack=8422 Win=16379 Len=0"
"23","0.258916","13.107.42.14","100.81.191.105","TLSv1.2","492","Application Data"
"24","0.258918","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"25","0.259029","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=8422 Ack=1720 Win=7216 Len=0"
"26","0.259777","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=8422 Ack=1720 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"27","0.259795","100.81.191.105","13.107.42.14","TLSv1.2","1393","Application Data"
"28","0.272832","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=1720 Ack=11201 Win=16385 Len=0"
"29","0.344054","13.107.42.14","100.81.191.105","TLSv1.2","357","Application Data"
"30","0.344057","13.107.42.14","100.81.191.105","TLSv1.2","224","Application Data"
"31","0.344059","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"32","0.344253","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=11201 Ack=2231 Win=7215 Len=0"
"33","0.578177","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=11201 Ack=2231 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"34","0.578211","100.81.191.105","13.107.42.14","TLSv1.2","1440","Application Data"
"35","0.579357","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=14027 Ack=2231 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"36","0.579374","100.81.191.105","13.107.42.14","TLSv1.2","1429","Application Data"
"37","0.587867","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=16842 Ack=2231 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"38","0.587868","100.81.191.105","13.107.42.14","TCP","1494","65413  >  443 [ACK] Seq=18282 Ack=2231 Win=7223 Len=1440 [TCP segment of a reassembled PDU]"
"39","0.587895","100.81.191.105","13.107.42.14","TLSv1.2","100","Application Data"
"40","0.590386","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=2231 Ack=14027 Win=16385 Len=0"
"41","0.591496","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=2231 Ack=16842 Win=16385 Len=0"
"42","0.601297","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=2231 Ack=18282 Win=16379 Len=0"
"43","0.601299","13.107.42.14","100.81.191.105","TCP","56","443  >  65413 [ACK] Seq=2231 Ack=19768 Win=16385 Len=0"
"44","0.674905","13.107.42.14","100.81.191.105","TLSv1.2","578","Application Data"
"45","0.674907","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"46","0.675034","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=19768 Ack=2793 Win=7214 Len=0"
"47","0.683113","13.107.42.14","100.81.191.105","TLSv1.2","546","Application Data"
"48","0.683114","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"49","0.683204","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=19768 Ack=3323 Win=7215 Len=0"
"50","0.829915","13.107.42.14","100.81.191.105","TCP","1514","443  >  65413 [ACK] Seq=3323 Ack=19768 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"51","0.829918","13.107.42.14","100.81.191.105","TCP","1514","443  >  65413 [ACK] Seq=4783 Ack=19768 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.829919","13.107.42.14","100.81.191.105","TLSv1.2","1454","Application Data"
"53","0.829921","13.107.42.14","100.81.191.105","TLSv1.2","885","Application Data"
"54","0.829922","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"55","0.830090","100.81.191.105","13.107.42.14","TCP","54","65413  >  443 [ACK] Seq=19768 Ack=8512 Win=7142 Len=0"
