"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","13.107.42.14","10.2.13.112","TLSv1.2","100","Application Data"
"2","0.000007","13.107.42.14","10.2.13.112","TCP","100","[TCP Retransmission] 443  >  55912 [PSH, ACK] Seq=1 Ack=1 Win=16383 Len=46"
"3","0.000174","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=1 Ack=47 Win=4095 Len=0"
"4","0.000246","10.2.13.112","13.107.42.14","TCP","66","[TCP Dup ACK 3#1] 55912  >  443 [ACK] Seq=1 Ack=47 Win=4095 Len=0 SLE=1 SRE=47"
"5","0.001776","10.2.13.112","13.107.42.14","TLSv1.2","96","Application Data"
"6","0.001824","10.2.13.112","13.107.42.14","TLSv1.2","96","Application Data"
"7","0.014002","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=47 Ack=85 Win=16383 Len=0"
"8","1.553244","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=85 Ack=47 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"9","1.553246","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=1285 Ack=47 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"10","1.553266","10.2.13.112","13.107.42.14","TLSv1.2","331","Application Data"
"11","1.553519","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=2762 Ack=47 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"12","1.553520","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=3962 Ack=47 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"13","1.553527","10.2.13.112","13.107.42.14","TLSv1.2","321","Application Data"
"14","1.565454","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=47 Ack=1285 Win=16385 Len=0"
"15","1.565455","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=47 Ack=5429 Win=16385 Len=0"
"16","1.571325","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=5429 Ack=47 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"17","1.571327","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=6629 Ack=47 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"18","1.571351","10.2.13.112","13.107.42.14","TLSv1.2","432","Application Data"
"19","1.582931","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=47 Ack=6629 Win=16380 Len=0"
"20","1.582932","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=47 Ack=8207 Win=16385 Len=0"
"21","1.691325","13.107.42.14","10.2.13.112","TLSv1.2","683","Application Data"
"22","1.691327","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"23","1.691327","13.107.42.14","10.2.13.112","TLSv1.2","548","Application Data"
"24","1.691328","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"25","1.691439","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=8207 Ack=1246 Win=4077 Len=0"
"26","1.701632","13.107.42.14","10.2.13.112","TLSv1.2","664","Application Data"
"27","1.701633","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"28","1.701709","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=8207 Ack=1894 Win=4085 Len=0"
"29","1.706153","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=8207 Ack=1894 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"30","1.706154","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=9407 Ack=1894 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"31","1.706177","10.2.13.112","13.107.42.14","TLSv1.2","327","Application Data"
"32","1.717981","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=1894 Ack=10607 Win=16385 Len=0"
"33","1.717983","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=1894 Ack=10880 Win=16384 Len=0"
"34","1.820969","13.107.42.14","10.2.13.112","TLSv1.2","436","Application Data"
"35","1.820972","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"36","1.821065","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=10880 Ack=2314 Win=4089 Len=0"
"37","5.550179","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=10880 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"38","5.550182","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=12080 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"39","5.550253","10.2.13.112","13.107.42.14","TLSv1.2","358","Application Data"
"40","5.551048","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=13584 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"41","5.551050","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=14784 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"42","5.551067","10.2.13.112","13.107.42.14","TLSv1.2","431","Application Data"
"43","5.551864","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=16361 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"44","5.551866","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=17561 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"45","5.551883","10.2.13.112","13.107.42.14","TLSv1.2","433","Application Data"
"46","5.551935","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=19140 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"47","5.551936","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=20340 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"48","5.551941","10.2.13.112","13.107.42.14","TLSv1.2","360","Application Data"
"49","5.553151","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=21846 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"50","5.553153","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=23046 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"51","5.553173","10.2.13.112","13.107.42.14","TLSv1.2","448","Application Data"
"52","5.553900","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=24640 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"53","5.553901","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=25840 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"54","5.553911","10.2.13.112","13.107.42.14","TLSv1.2","383","Application Data"
"55","5.554103","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=27369 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"56","5.554105","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=28569 Ack=2314 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"57","5.554123","10.2.13.112","13.107.42.14","TLSv1.2","394","Application Data"
"58","5.562055","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=13280 Win=16385 Len=0"
"59","5.562056","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=13584 Win=16383 Len=0"
"60","5.562056","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=14784 Win=16385 Len=0"
"61","5.562056","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=15984 Win=16380 Len=0"
"62","5.562057","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=16361 Win=16385 Len=0"
"63","5.563146","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=19140 Win=16385 Len=0"
"64","5.563146","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=21846 Win=16385 Len=0"
"65","5.565268","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=24246 Win=16385 Len=0"
"66","5.565269","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=24640 Win=16383 Len=0"
"67","5.565271","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=25840 Win=16385 Len=0"
"68","5.565271","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=27040 Win=16380 Len=0"
"69","5.565271","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=2314 Ack=30109 Win=16385 Len=0"
"70","5.686049","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=2314 Ack=30109 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"71","5.686053","13.107.42.14","10.2.13.112","TLSv1.2","692","Application Data"
"72","5.686054","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"73","5.686216","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30109 Ack=4450 Win=4062 Len=0"
"74","5.686793","10.2.13.112","13.107.42.14","TLSv1.2","96","Application Data"
"75","5.698640","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=4450 Ack=30151 Win=16384 Len=0"
"76","5.712852","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=4450 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"77","5.712854","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=5910 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"78","5.712855","13.107.42.14","10.2.13.112","TLSv1.2","1508","Application Data"
"79","5.712857","13.107.42.14","10.2.13.112","TLSv1.2","615","Application Data"
"80","5.712858","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"81","5.712965","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=9423 Win=4018 Len=0"
"82","5.713096","10.2.13.112","13.107.42.14","TCP","54","[TCP Window Update] 55912  >  443 [ACK] Seq=30151 Ack=9423 Win=4096 Len=0"
"83","5.741142","13.107.42.14","10.2.13.112","TLSv1.2","446","Application Data"
"84","5.741144","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"85","5.741314","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=9853 Win=4089 Len=0"
"86","5.754550","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=9853 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"87","5.754552","13.107.42.14","10.2.13.112","TLSv1.2","143","Application Data"
"88","5.754553","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"89","5.754680","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=11440 Win=4071 Len=0"
"90","5.795841","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=11440 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"91","5.795843","13.107.42.14","10.2.13.112","TLSv1.2","961","Application Data"
"92","5.795845","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"93","5.796021","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=13845 Win=4058 Len=0"
"94","5.796196","10.2.13.112","13.107.42.14","TCP","54","[TCP Window Update] 55912  >  443 [ACK] Seq=30151 Ack=13845 Win=4096 Len=0"
"95","6.892605","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=13845 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"96","6.892609","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=15305 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"97","6.892610","13.107.42.14","10.2.13.112","TLSv1.2","1215","Application Data"
"98","6.892612","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"99","6.892612","13.107.42.14","10.2.13.112","TCP","1514","[TCP Retransmission] 443  >  55912 [PSH, ACK] Seq=16504 Ack=30151 Win=16384 Len=1460"
"100","6.892614","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=17964 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"101","6.892616","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=19424 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"102","6.892617","13.107.42.14","10.2.13.112","TLSv1.2","1457","Application Data"
"103","6.892618","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=22287 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"104","6.892620","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=23747 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"105","6.892622","13.107.42.14","10.2.13.112","TLSv1.2","599","Application Data"
"106","6.892623","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=25752 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"107","6.892624","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=27212 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"108","6.892626","13.107.42.14","10.2.13.112","TLSv1.2","1268","Application Data"
"109","6.892628","13.107.42.14","10.2.13.112","TCP","1514","[TCP Retransmission] 443  >  55912 [ACK] Seq=13845 Ack=30151 Win=16384 Len=1460"
"110","6.892877","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=17964 Win=4031 Len=0"
"111","6.892966","10.2.13.112","13.107.42.14","TCP","66","[TCP Dup ACK 110#1] 55912  >  443 [ACK] Seq=30151 Ack=17964 Win=4031 Len=0 SLE=16504 SRE=17964"
"112","6.892994","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=29886 Win=3845 Len=0"
"113","6.893016","10.2.13.112","13.107.42.14","TCP","66","[TCP Dup ACK 112#1] 55912  >  443 [ACK] Seq=30151 Ack=29886 Win=3845 Len=0 SLE=13845 SRE=15305"
"114","6.893074","10.2.13.112","13.107.42.14","TCP","54","[TCP Window Update] 55912  >  443 [ACK] Seq=30151 Ack=29886 Win=4096 Len=0"
"115","6.906220","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=29886 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"116","6.906223","13.107.42.14","10.2.13.112","TLSv1.2","1514","Application Data"
"117","6.906225","13.107.42.14","10.2.13.112","TCP","1514","[TCP Spurious Retransmission] 443  >  55912 [ACK] Seq=17964 Ack=30151 Win=16384 Len=1460"
"118","6.906226","13.107.42.14","10.2.13.112","TCP","1514","[TCP Spurious Retransmission] 443  >  55912 [ACK] Seq=19424 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"119","6.906227","13.107.42.14","10.2.13.112","TCP","1514","[TCP Spurious Retransmission] 443  >  55912 [PSH, ACK] Seq=20884 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"120","6.906228","13.107.42.14","10.2.13.112","TCP","1514","[TCP Retransmission] 443  >  55912 [ACK] Seq=29886 Ack=30151 Win=16384 Len=1460"
"121","6.906229","13.107.42.14","10.2.13.112","TCP","1514","[TCP Retransmission] 443  >  55912 [PSH, ACK] Seq=31346 Ack=30151 Win=16384 Len=1460 [TCP segment of a reassembled PDU]"
"122","6.906230","13.107.42.14","10.2.13.112","TLSv1.2","83","Application Data"
"123","6.906407","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=32806 Win=4050 Len=0"
"124","6.906500","10.2.13.112","13.107.42.14","TCP","66","[TCP Dup ACK 123#1] 55912  >  443 [ACK] Seq=30151 Ack=32806 Win=4050 Len=0 SLE=17964 SRE=22344"
"125","6.906583","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=30151 Ack=32835 Win=4096 Len=0"
"126","6.922910","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=30151 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"127","6.922913","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=31351 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"128","6.922962","10.2.13.112","13.107.42.14","TLSv1.2","382","Application Data"
"129","6.923047","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=32879 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"130","6.923049","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=34079 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"131","6.923060","10.2.13.112","13.107.42.14","TLSv1.2","362","Application Data"
"132","6.934887","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=32835 Ack=34079 Win=16385 Len=0"
"133","6.934888","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=32835 Ack=35587 Win=16385 Len=0"
"134","6.940058","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=35587 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"135","6.940061","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=36787 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"136","6.940098","10.2.13.112","13.107.42.14","TLSv1.2","366","Application Data"
"137","6.951923","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=32835 Ack=38299 Win=16385 Len=0"
"138","6.976855","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=38299 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"139","6.976857","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=39499 Ack=32835 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"140","6.976884","10.2.13.112","13.107.42.14","TLSv1.2","355","Application Data"
"141","6.989067","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=32835 Ack=39499 Win=16380 Len=0"
"142","6.989068","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=32835 Ack=41000 Win=16385 Len=0"
"143","7.068677","13.107.42.14","10.2.13.112","TLSv1.2","666","Application Data"
"144","7.068678","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"145","7.068742","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=41000 Ack=33485 Win=4085 Len=0"
"146","7.094199","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=33485 Ack=41000 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"147","7.094200","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=34945 Ack=41000 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"148","7.094201","13.107.42.14","10.2.13.112","TLSv1.2","1479","Application Data"
"149","7.094202","13.107.42.14","10.2.13.112","TLSv1.2","511","Application Data"
"150","7.094202","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"151","7.094294","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=41000 Ack=38325 Win=4020 Len=0"
"152","7.094407","10.2.13.112","13.107.42.14","TCP","54","[TCP Window Update] 55912  >  443 [ACK] Seq=41000 Ack=38325 Win=4096 Len=0"
"153","7.115894","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=38325 Ack=41000 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"154","7.115895","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=39785 Ack=41000 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"155","7.115896","13.107.42.14","10.2.13.112","TLSv1.2","78","Application Data"
"156","7.115897","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"157","7.115989","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=41000 Ack=41307 Win=4049 Len=0"
"158","7.116091","10.2.13.112","13.107.42.14","TCP","54","[TCP Window Update] 55912  >  443 [ACK] Seq=41000 Ack=41307 Win=4096 Len=0"
"159","7.177127","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=41000 Ack=41307 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"160","7.177129","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=42200 Ack=41307 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"161","7.177151","10.2.13.112","13.107.42.14","TLSv1.2","442","Application Data"
"162","7.185138","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=41307 Ack=41000 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"163","7.185139","13.107.42.14","10.2.13.112","TCP","1514","443  >  55912 [ACK] Seq=42767 Ack=41000 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"164","7.185140","13.107.42.14","10.2.13.112","TLSv1.2","67","Application Data"
"165","7.185141","13.107.42.14","10.2.13.112","TLSv1.2","92","Application Data"
"166","7.185226","10.2.13.112","13.107.42.14","TCP","54","55912  >  443 [ACK] Seq=43788 Ack=44278 Win=4049 Len=0"
"167","7.185307","10.2.13.112","13.107.42.14","TCP","54","[TCP Window Update] 55912  >  443 [ACK] Seq=43788 Ack=44278 Win=4096 Len=0"
"168","7.190862","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=44278 Ack=42200 Win=16380 Len=0"
"169","7.190864","13.107.42.14","10.2.13.112","TCP","56","443  >  55912 [ACK] Seq=44278 Ack=43788 Win=16385 Len=0"
"170","7.232381","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=43788 Ack=44278 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"171","7.232383","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=44988 Ack=44278 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"172","7.232495","10.2.13.112","13.107.42.14","TLSv1.2","401","Application Data"
"173","7.232616","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=46535 Ack=44278 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"174","7.232617","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=47735 Ack=44278 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"175","7.232633","10.2.13.112","13.107.42.14","TLSv1.2","354","Application Data"
"176","7.233661","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=49235 Ack=44278 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
"177","7.233662","10.2.13.112","13.107.42.14","TCP","1254","55912  >  443 [ACK] Seq=50435 Ack=44278 Win=4096 Len=1200 [TCP segment of a reassembled PDU]"
