"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.81.191.105","13.107.42.14","TCP","78","56355  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2750354889 TSecr=0 SACK_PERM"
"2","0.000100","100.81.191.105","13.107.42.14","TCP","78","56356  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1093904105 TSecr=0 SACK_PERM"
"3","0.013127","13.107.42.14","100.81.191.105","TCP","66","443  >  56356 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"4","0.013128","13.107.42.14","100.81.191.105","TCP","66","443  >  56355 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"5","0.013228","100.81.191.105","13.107.42.14","TCP","54","56356  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6","0.013284","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"7","0.013592","100.81.191.105","13.107.42.14","TCP","1494","56356  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"8","0.013610","100.81.191.105","13.107.42.14","TLSv1.2","372","Client Hello (SNI=www.linkedin.com)"
"9","0.013828","100.81.191.105","13.107.42.14","TCP","1494","56355  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"10","0.013834","100.81.191.105","13.107.42.14","TLSv1.2","436","Client Hello (SNI=www.linkedin.com)"
"11","0.026555","13.107.42.14","100.81.191.105","TCP","56","443  >  56356 [ACK] Seq=1 Ack=1759 Win=4194560 Len=0"
"12","0.026556","13.107.42.14","100.81.191.105","TCP","56","443  >  56355 [ACK] Seq=1 Ack=1823 Win=4194560 Len=0"
"13","0.027863","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=1 Ack=1823 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"14","0.027864","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=1461 Ack=1823 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.027865","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=2921 Ack=1823 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"16","0.027867","13.107.42.14","100.81.191.105","TLSv1.2","265","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"17","0.027933","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=1823 Ack=4592 Win=257536 Len=0"
"18","0.028008","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56355  >  443 [ACK] Seq=1823 Ack=4592 Win=262144 Len=0"
"19","0.029730","13.107.42.14","100.81.191.105","TCP","1514","443  >  56356 [ACK] Seq=1 Ack=1759 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.029731","13.107.42.14","100.81.191.105","TCP","1514","443  >  56356 [ACK] Seq=1461 Ack=1759 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.029732","13.107.42.14","100.81.191.105","TCP","1514","443  >  56356 [ACK] Seq=2921 Ack=1759 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"22","0.029732","13.107.42.14","100.81.191.105","TLSv1.2","265","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"23","0.029807","100.81.191.105","13.107.42.14","TCP","54","56356  >  443 [ACK] Seq=1759 Ack=4592 Win=257536 Len=0"
"24","0.030297","100.81.191.105","13.107.42.14","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25","0.030384","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56356  >  443 [ACK] Seq=1759 Ack=4592 Win=262144 Len=0"
"26","0.031368","100.81.191.105","13.107.42.14","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"27","0.031402","100.81.191.105","13.107.42.14","TCP","54","56356  >  443 [FIN, ACK] Seq=1917 Ack=4592 Win=262144 Len=0"
"28","0.031638","100.81.191.105","13.107.42.14","TLSv1.2","153","Application Data"
"29","0.031757","100.81.191.105","13.107.42.14","TCP","1494","56355  >  443 [ACK] Seq=2080 Ack=4592 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"30","0.031762","100.81.191.105","13.107.42.14","TLSv1.2","627","Application Data"
"31","0.042751","13.107.42.14","100.81.191.105","TCP","56","443  >  56355 [ACK] Seq=4592 Ack=1981 Win=4194304 Len=0"
"32","0.042752","13.107.42.14","100.81.191.105","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"33","0.042823","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4093 Ack=4934 Win=261760 Len=0"
"34","0.044219","13.107.42.14","100.81.191.105","TLSv1.2","123","Application Data"
"35","0.044220","13.107.42.14","100.81.191.105","TCP","56","443  >  56356 [ACK] Seq=4592 Ack=1918 Win=4194304 Len=0"
"36","0.044220","13.107.42.14","100.81.191.105","TLSv1.2","92","Application Data"
"37","0.044249","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4093 Ack=5003 Win=262016 Len=0"
"38","0.044276","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4093 Ack=5041 Win=262016 Len=0"
"39","0.044321","100.81.191.105","13.107.42.14","TLSv1.2","92","Application Data"
"40","0.045483","13.107.42.14","100.81.191.105","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"41","0.045483","13.107.42.14","100.81.191.105","TLSv1.2","123","Application Data"
"42","0.045484","13.107.42.14","100.81.191.105","TCP","56","443  >  56356 [RST, ACK] Seq=5003 Ack=1918 Win=0 Len=0"
"43","0.045561","100.81.191.105","13.107.42.14","TCP","54","56356  >  443 [RST] Seq=1918 Win=0 Len=0"
"44","0.056226","13.107.42.14","100.81.191.105","TCP","56","443  >  56355 [ACK] Seq=5041 Ack=4131 Win=4194304 Len=0"
"45","0.230105","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=5041 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"46","0.230222","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=6501 Win=260672 Len=0"
"47","0.231914","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=6501 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"48","0.231915","13.107.42.14","100.81.191.105","TLSv1.2","212","Application Data"
"49","0.231916","13.107.42.14","100.81.191.105","TLSv1.2","147","Application Data"
"50","0.231916","13.107.42.14","100.81.191.105","TLSv1.2","790","Application Data"
"51","0.231917","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=8948 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.231918","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=10408 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"53","0.231919","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"54","0.231920","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=13082 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"55","0.231921","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=14542 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"56","0.231922","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"57","0.232014","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=17216 Win=251392 Len=0"
"58","0.232073","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56355  >  443 [ACK] Seq=4131 Ack=17216 Win=262144 Len=0"
"59","0.238973","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=17216 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"60","0.238974","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=18676 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"61","0.238975","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"62","0.239056","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=21350 Win=257984 Len=0"
"63","0.239142","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56355  >  443 [ACK] Seq=4131 Ack=21350 Win=262144 Len=0"
"64","0.263299","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=21350 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"65","0.263371","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=22810 Win=260672 Len=0"
"66","0.264602","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=22810 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"67","0.264603","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"68","0.264604","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=25484 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"69","0.264605","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=26944 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"70","0.264606","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"71","0.264606","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=29618 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"72","0.264607","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=31078 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"73","0.264608","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"74","0.264609","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=33752 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"75","0.264610","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=35212 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"76","0.264654","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=36672 Win=248256 Len=0"
"77","0.264695","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56355  >  443 [ACK] Seq=4131 Ack=36672 Win=262144 Len=0"
"78","0.266165","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"79","0.266166","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=37886 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"80","0.266167","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=39346 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"81","0.266168","13.107.42.14","100.81.191.105","TLSv1.2","570","Application Data"
"82","0.266168","13.107.42.14","100.81.191.105","TLSv1.2","790","Application Data"
"83","0.266233","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=42058 Win=256704 Len=0"
"84","0.266288","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56355  >  443 [ACK] Seq=4131 Ack=42058 Win=262144 Len=0"
"85","0.272007","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=42058 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"86","0.272073","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=43518 Win=260672 Len=0"
"87","0.272668","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=43518 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"88","0.272670","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"89","0.272671","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=46192 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"90","0.272672","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=47652 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"91","0.272673","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"92","0.272674","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=50326 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"93","0.272675","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=51786 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"94","0.272675","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"95","0.272676","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=54460 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"96","0.272677","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=55920 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"97","0.272746","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=57380 Win=248256 Len=0"
"98","0.272910","100.81.191.105","13.107.42.14","TCP","54","[TCP Window Update] 56355  >  443 [ACK] Seq=4131 Ack=57380 Win=262144 Len=0"
"99","0.273716","13.107.42.14","100.81.191.105","TLSv1.2","1268","Application Data"
"100","0.273784","100.81.191.105","13.107.42.14","TCP","54","56355  >  443 [ACK] Seq=4131 Ack=58594 Win=260928 Len=0"
"101","0.297242","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=58594 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"102","0.297243","13.107.42.14","100.81.191.105","TCP","1514","443  >  56355 [ACK] Seq=60054 Ack=4131 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
