,param_activation,param_solver,param_alpha,param_hidden_layer_sizes,mean_test_score,std_test_score,rank_test_score
646,tanh,lbfgs,1,20,0.937614949,0.00349167,1
643,tanh,lbfgs,1,19,0.936143603,0.001040398,2
832,tanh,lbfgs,1.00E-07,19,0.935873857,0.001892204,3
376,logistic,lbfgs,0.1,20,0.935726722,0.004016142,4
640,tanh,lbfgs,1,18,0.935285318,0.000481789,5
361,logistic,lbfgs,0.1,15,0.935187229,0.003197145,6
634,tanh,lbfgs,1,16,0.934132764,0.001319206,7
670,tanh,lbfgs,0.1,19,0.93378945,0.001010491,8
778,tanh,lbfgs,1.00E-05,19,0.933299002,0.001807354,9
367,logistic,lbfgs,0.1,17,0.932808553,0.002451261,10
364,logistic,lbfgs,0.1,16,0.932563329,0.003844941,11
637,tanh,lbfgs,1,17,0.932097403,0.002832101,12
661,tanh,lbfgs,0.1,16,0.931778612,0.001992513,13
631,tanh,lbfgs,1,15,0.931754089,0.001639889,14
751,tanh,lbfgs,0.0001,19,0.930160131,0.006114302,15
724,tanh,lbfgs,0.001,19,0.929890385,0.005908327,16
346,logistic,lbfgs,1,19,0.929252802,0.002434275,17
622,tanh,lbfgs,1,12,0.929252802,0.002200743,17
667,tanh,lbfgs,0.1,18,0.927953113,0.00787189,19
859,tanh,lbfgs,1.00E-08,19,0.927364575,0.010769394,20
373,logistic,lbfgs,0.1,19,0.925500871,0.005286048,21
886,tanh,lbfgs,1.00E-09,19,0.925451826,0.011244863,22
805,tanh,lbfgs,1.00E-06,19,0.925255646,0.005348026,23
337,logistic,lbfgs,1,16,0.92336742,0.003792027,24
349,logistic,lbfgs,1,20,0.923122195,0.002972579,25
628,tanh,lbfgs,1,14,0.923048628,0.005562322,26
673,tanh,lbfgs,0.1,20,0.922533657,0.001467663,27
967,relu,lbfgs,0.1,19,0.921601805,0.007391549,28
694,tanh,lbfgs,0.01,18,0.920792565,0.002497919,29
862,tanh,lbfgs,1.00E-08,20,0.920449251,0.00346331,30
697,tanh,lbfgs,0.01,19,0.919885235,0.008183071,31
721,tanh,lbfgs,0.001,18,0.9197381,0.001748158,32
775,tanh,lbfgs,1.00E-05,18,0.919713578,0.002065423,33
340,logistic,lbfgs,1,17,0.919689056,0.002827851,34
802,tanh,lbfgs,1.00E-06,18,0.919443831,0.00261207,35
664,tanh,lbfgs,0.1,17,0.919419309,0.00795215,36
748,tanh,lbfgs,0.0001,18,0.919394787,0.002261388,37
889,tanh,lbfgs,1.00E-09,20,0.919345742,0.002377284,38
358,logistic,lbfgs,0.1,14,0.919296697,0.019342552,39
808,tanh,lbfgs,1.00E-06,20,0.919198607,0.004102361,40
754,tanh,lbfgs,0.0001,20,0.918708159,0.002088585,41
835,tanh,lbfgs,1.00E-07,20,0.918021531,0.001328744,42
700,tanh,lbfgs,0.01,20,0.917972486,0.001456558,43
829,tanh,lbfgs,1.00E-07,18,0.917702739,0.004927848,44
388,logistic,lbfgs,0.01,15,0.917580127,0.014368216,45
394,logistic,lbfgs,0.01,17,0.91750656,0.004839189,46
994,relu,lbfgs,0.01,19,0.917359425,0.002884071,47
781,tanh,lbfgs,1.00E-05,20,0.917285858,0.001997938,48
727,tanh,lbfgs,0.001,20,0.916672797,0.001027018,49
856,tanh,lbfgs,1.00E-08,18,0.916476618,0.007374444,50
883,tanh,lbfgs,1.00E-09,18,0.915814512,0.006155764,51
343,logistic,lbfgs,1,18,0.915716423,0.011955431,52
370,logistic,lbfgs,0.1,18,0.915152407,0.001124294,53
331,logistic,lbfgs,1,14,0.914711003,0.006639104,54
556,logistic,lbfgs,1.00E-08,17,0.914416734,0.012385743,55
592,logistic,lbfgs,1.00E-09,20,0.913705584,0.009297654,56
421,logistic,lbfgs,0.001,17,0.913509404,0.002733123,57
475,logistic,lbfgs,1.00E-05,17,0.91336227,0.011611259,58
655,tanh,lbfgs,0.1,14,0.912602075,0.003067558,59
583,logistic,lbfgs,1.00E-09,17,0.911964492,0.008888424,60
529,logistic,lbfgs,1.00E-07,17,0.911400476,0.008883145,61
496,logistic,lbfgs,1.00E-06,15,0.910615758,0.018489942,62
403,logistic,lbfgs,0.01,20,0.910223399,0.018402835,63
502,logistic,lbfgs,1.00E-06,17,0.909561294,0.006379979,64
448,logistic,lbfgs,0.0001,17,0.909389637,0.006394948,65
334,logistic,lbfgs,1,15,0.90931607,0.012960699,66
400,logistic,lbfgs,0.01,19,0.908825621,0.026115474,67
625,tanh,lbfgs,1,13,0.908825621,0.005557563,67
943,relu,lbfgs,1,20,0.908653964,0.017733767,69
940,relu,lbfgs,1,19,0.908335173,0.029316537,70
1102,relu,lbfgs,1.00E-06,19,0.908016381,0.011179053,71
658,tanh,lbfgs,0.1,15,0.907280708,0.00985112,72
1048,relu,lbfgs,0.0001,19,0.907158096,0.007498331,73
481,logistic,lbfgs,1.00E-05,19,0.906863827,0.007315661,74
685,tanh,lbfgs,0.01,15,0.906177199,0.002782188,75
682,tanh,lbfgs,0.01,14,0.90588293,0.002544431,76
442,logistic,lbfgs,0.0001,15,0.905000123,0.020666106,77
550,logistic,lbfgs,1.00E-08,15,0.904730376,0.010241101,78
1129,relu,lbfgs,1.00E-07,19,0.904632286,0.001362264,79
415,logistic,lbfgs,0.001,15,0.903553299,0.024898149,80
1156,relu,lbfgs,1.00E-08,19,0.903553299,0.002553396,80
427,logistic,lbfgs,0.001,19,0.90335712,0.012254983,82
352,logistic,lbfgs,0.1,12,0.903185463,0.008583339,83
511,logistic,lbfgs,1.00E-06,20,0.903136418,0.011229611,84
325,logistic,lbfgs,1,12,0.902376223,0.011139715,85
1183,relu,lbfgs,1.00E-09,19,0.901272714,0.003672965,86
1075,relu,lbfgs,1.00E-05,19,0.901199147,0.004231664,87
718,tanh,lbfgs,0.001,17,0.900904878,0.011320918,88
457,logistic,lbfgs,0.0001,20,0.90002207,0.013575638,89
691,tanh,lbfgs,0.01,17,0.899874936,0.014014647,90
577,logistic,lbfgs,1.00E-09,15,0.899654234,0.01787377,91
469,logistic,lbfgs,1.00E-05,15,0.899482577,0.016719296,92
1015,relu,lbfgs,0.001,17,0.898599769,0.021749747,93
880,tanh,lbfgs,1.00E-09,17,0.898231933,0.02128442,94
922,relu,lbfgs,1,13,0.898182888,0.019955681,95
925,relu,lbfgs,1,14,0.897618872,0.017090248,96
1134,relu,adam,1.00E-08,12,0.897618872,0.012699302,96
430,logistic,lbfgs,0.001,20,0.897520783,0.010465705,98
565,logistic,lbfgs,1.00E-08,20,0.897398171,0.014993333,99
1080,relu,adam,1.00E-06,12,0.896956767,0.010243977,100
1123,relu,lbfgs,1.00E-07,17,0.896637975,0.024511339,101
619,tanh,lbfgs,10,20,0.896490841,0.008173807,102
328,logistic,lbfgs,1,13,0.896343706,0.015772019,103
535,logistic,lbfgs,1.00E-07,19,0.896172049,0.011505592,104
901,relu,lbfgs,10,15,0.895706123,0.018362402,105
1171,relu,lbfgs,1.00E-09,15,0.895093063,0.019622569,106
1026,relu,adam,0.0001,12,0.895019495,0.017255565,107
523,logistic,lbfgs,1.00E-07,15,0.894063121,0.01680697,108
972,relu,adam,0.01,12,0.893229358,0.008343609,109
1150,relu,lbfgs,1.00E-08,17,0.893106746,0.033531833,110
688,tanh,lbfgs,0.01,16,0.892984134,0.023441105,111
607,tanh,lbfgs,10,16,0.892763432,0.008185349,112
490,logistic,lbfgs,1.00E-06,13,0.892150372,0.012614589,113
1053,relu,adam,1.00E-05,12,0.891782535,0.005900077,114
454,logistic,lbfgs,0.0001,19,0.891659923,0.009931371,115
853,tanh,lbfgs,1.00E-08,17,0.891659923,0.021380152,115
589,logistic,lbfgs,1.00E-09,19,0.891316609,0.010617049,117
562,logistic,lbfgs,1.00E-08,19,0.890335712,0.009424527,118
1177,relu,lbfgs,1.00E-09,17,0.890335712,0.027376145,118
1185,relu,adam,1.00E-09,20,0.890188577,0.002866503,120
913,relu,lbfgs,10,19,0.89011501,0.002049641,121
898,relu,lbfgs,10,14,0.889575517,0.00658773,122
558,logistic,adam,1.00E-08,18,0.88920768,0.004575782,123
585,logistic,adam,1.00E-09,18,0.88920768,0.004575782,123
604,tanh,lbfgs,10,15,0.889109591,0.002600534,125
1186,relu,lbfgs,1.00E-09,20,0.889036023,0.01390069,126
417,logistic,adam,0.001,16,0.889011501,0.003192816,127
