"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.65.191.105","172.64.150.28","QUIC","1292","Initial, DCID=179835a6afec935b, PKN: 1, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING"
"2","0.000503","100.65.191.105","172.64.150.28","QUIC","121","0-RTT, DCID=179835a6afec935b"
"3","0.000786","100.65.191.105","172.64.150.28","QUIC","1292","0-RTT, DCID=179835a6afec935b"
"4","0.000791","100.65.191.105","172.64.150.28","QUIC","1292","0-RTT, DCID=179835a6afec935b"
"5","0.000794","100.65.191.105","172.64.150.28","QUIC","1292","0-RTT, DCID=179835a6afec935b"
"6","0.000798","100.65.191.105","172.64.150.28","QUIC","499","0-RTT, DCID=179835a6afec935b"
"7","0.067374","100.65.191.105","172.64.150.28","QUIC","1292","Initial, DCID=179835a6afec935b, PKN: 8, CRYPTO, PING, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING"
"8","0.153157","172.64.150.28","100.65.191.105","QUIC","1242","Handshake, SCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"9","0.153160","172.64.150.28","100.65.191.105","QUIC","1242","Initial, SCID=01c94d3f54414a70bbc8c93f51414dd1000e81da, PKN: 1, ACK"
"10","0.153162","172.64.150.28","100.65.191.105","QUIC","66","Protected Payload (KP0)"
"11","0.153163","172.64.150.28","100.65.191.105","QUIC","66","Protected Payload (KP0)"
"12","0.153164","172.64.150.28","100.65.191.105","QUIC","91","Protected Payload (KP0)"
"13","0.153999","100.65.191.105","172.64.150.28","QUIC","133","Handshake, DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"14","0.154524","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"15","0.154552","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"16","0.154616","100.65.191.105","172.64.150.28","QUIC","89","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"17","0.172295","172.64.150.28","100.65.191.105","QUIC","64","Protected Payload (KP0)"
"18","0.172296","172.64.150.28","100.65.191.105","QUIC","70","Protected Payload (KP0)"
"19","0.172727","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"20","0.340317","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"21","0.340320","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"22","0.340322","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"23","0.340872","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"24","0.342225","172.64.150.28","100.65.191.105","QUIC","1219","Protected Payload (KP0)"
"25","0.342227","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"26","0.342228","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"27","0.342229","172.64.150.28","100.65.191.105","QUIC","835","Protected Payload (KP0)"
"28","0.342484","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"29","0.342526","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"30","0.368512","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"31","0.373596","100.65.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"32","0.385366","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"33","0.385368","172.64.150.28","100.65.191.105","QUIC","757","Protected Payload (KP0)"
"34","0.385369","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"35","0.385369","172.64.150.28","100.65.191.105","QUIC","772","Protected Payload (KP0)"
"36","0.385591","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"37","0.385616","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"38","0.391628","172.64.150.28","100.65.191.105","QUIC","65","Protected Payload (KP0)"
"39","0.408664","100.65.191.105","172.64.150.28","QUIC","1292","Initial, DCID=36539487d50ccda4, PKN: 1, PING, PADDING, PING, CRYPTO, PING, PADDING, PING, PING, PING, PADDING, PING"
"40","0.408906","100.65.191.105","172.64.150.28","QUIC","117","0-RTT, DCID=36539487d50ccda4"
"41","0.428021","172.64.150.28","100.65.191.105","QUIC","1242","Handshake, SCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"42","0.428022","172.64.150.28","100.65.191.105","QUIC","94","Protected Payload (KP0)"
"43","0.428022","172.64.150.28","100.65.191.105","QUIC","66","Protected Payload (KP0)"
"44","0.428023","172.64.150.28","100.65.191.105","QUIC","66","Protected Payload (KP0)"
"45","0.428023","172.64.150.28","100.65.191.105","QUIC","91","Protected Payload (KP0)"
"46","0.428537","100.65.191.105","172.64.150.28","QUIC","132","Handshake, DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"47","0.428588","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"48","0.428615","100.65.191.105","172.64.150.28","QUIC","85","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"49","0.428633","100.65.191.105","172.64.150.28","QUIC","89","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"50","0.429725","172.64.150.28","100.65.191.105","QUIC","1161","Protected Payload (KP0)"
"51","0.457131","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"52","0.464565","100.65.191.105","172.64.150.28","QUIC","169","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"53","0.471080","172.64.150.28","100.65.191.105","QUIC","71","Protected Payload (KP0)"
"54","0.483225","172.64.150.28","100.65.191.105","QUIC","1167","Protected Payload (KP0)"
"55","0.499924","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"56","0.506679","172.64.150.28","100.65.191.105","QUIC","67","Protected Payload (KP0)"
"57","0.509208","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"58","0.532734","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
"59","0.534100","100.65.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=0175878a91408d5d54770d8ab340a0852b3c588c"
